,station_name,station_id,station_longitude,station_latitude,station_altitude,date,temperature_max,temperature_min,temperature_mean,precipitation
0,ABADAN,40831.0,48.2147222222222,30.3772222222222,6.6,2000-01-01 00:00:00,21.4,7.4,13.5,0.0
8229,ABADCHI-FARIDAN,19264.0,50.6831,32.7167,2100.0,2014-10-14 00:00:00,,,,
8231,ABADEH,40818.0,52.61638889,31.19833333,2030.0,2000-01-01 00:00:00,14.4,-7.0,3.6,0.0
16460,ABADE TASHK,19689.0,53.72,29.8,1601.0,2000-06-01 00:00:00,37.0,15.0,26.0,
24060,ABALI,40755.0,51.88333333,35.75,2465.0,2000-01-01 00:00:00,10.2,2.0,7.0,0.0
32289,ABARDEJ,18854.0,51.7994,35.2167,900.0,2000-01-01 00:00:00,20.0,0.3,10.15,
33535,ABARKOH,19545.0,53.2831,31.1331,1506.0,2000-01-01 00:00:00,16.5,-1.2,7.65,
34270,ABARKUH,99539.0,53.22722222,31.12,1523.8,2003-01-01 00:00:00,8.2,1.0,4.8,1.5
41403,ABBAR,18297.0,48.9667,36.9331,728.0,2000-01-01 00:00:00,18.5,6.0,12.25,
42320,ABBAR,99298.0,48.9408,36.9339,624.7,2003-01-01 00:00:00,12.2,4.0,8.5,0.0
49453,ABDANAN,99488.0,47.4225,32.99611111,920.0,2009-09-01 00:00:00,36.0,23.6,32.1,0.0
54150,ABHAR,18541.0,49.22,36.18,1552.0,2019-05-06 00:00:00,25.5,,18.9,
55292,ABKHIZDARI-ZAYANDEHROUD,19281.0,50.72,32.67,2100.0,2000-01-01 00:00:00,14.0,-7.0,3.5,
63090,ABPAKHSH,19749.0,51.03,29.22,46.0,2000-08-01 00:00:00,49.5,26.5,38.0,
68697,ABRAHIMABAD MEHRIZ,19452.0,54.3333,31.65,1630.0,2000-01-01 00:00:00,16.0,-3.2,6.4,
73474,ABUMUSA ISLAND,40890.0,55.01333333,25.87416667,6.6,2000-01-01 00:00:00,25.6,17.2,23.0,0.0
81703,ABYANEH,19136.0,51.58,33.57,2234.0,2000-01-01 00:00:00,14.0,1.0,7.5,
89660,ABYEK,99368.0,50.53833333,36.01944444,1226.0,2013-10-08 00:00:00,,,21.0,
92705,ADL DEZAK,19391.0,50.95,32.08,2054.0,2000-01-01 00:00:00,14.0,-8.8,2.6,
100750,AFRACHAL,18516.0,53.25,36.2333,723.0,2000-01-01 00:00:00,14.5,1.0,7.75,
105350,AGHAJARI,99538.0,49.82805556,30.69666667,143.0,2011-01-01 00:00:00,20.0,15.2,16.8,0.9
109561,AGHGHALEH,18280.0,54.4331,37.0167,-10.0,2021-06-19 00:00:00,37.6,27.3,32.45,
109950,AGHTOGHEH,18082.0,55.72,37.9,250.0,2011-01-01 00:00:00,15.0,1.0,8.0,
